"ID","RawBarcode","OrderedForInvoiceCode","OrderedForInvoiceDateStamp","OrderedForInvoiceTimeStamp","Spiff","SpiffEndDate","SpiffStartDate","POLineTimeStamp","PODateStamp","DateReserved","Notes","OriginalCost","FreightAmount","FreightInvoiceNumber","ResizePicture","PicturePath","StandardCost","ReserveExclusive","SerialTypeCode","UniqueSellPrice","Discount1","Discount2","Discount3","Discount4","Discount5","Discount6","Discount7","Discount8","Discount9","Discount10","ReserveExclusiveCommentCode","TagPrice","Discount1Method","Discount2Method","Discount3Method","Discount4Method","Discount5Method","Discount6Method","Discount7Method","Discount8Method","Discount9Method","Discount10Method","Discount1Rate","Discount2Rate","Discount3Rate","Discount4Rate","Discount5Rate","Discount6Rate","Discount7Rate","Discount8Rate","Discount9Rate","Discount10Rate","SupplierCode","DyeLot","DoNotService","Available","BinLocationCode","Code","Cost","DateReceived","Features","FloorPlan","FloorPlanDueDate","InvLineDateStamp","InvLineTimeStamp","InvoiceCode","LocationCode","ModelCode","POCode","RunNumber","Status","SupplierInvoice","TrustDocument","TrustDocumentLine"
"124839","","R00015685","2026-09-08 00:00:00","14:17:16:823","","","","09:59:11:010","2026-03-27 00:00:00","2026-09-08 00:00:00","","200.0000","0.0000","","","","200.0000","False","ALL","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","GEC","","False","True","PULL1","SGAD952746G","200.0000","2026-03-27 00:00:00","","","1899-12-30 00:00:00","2026-09-08 00:00:00","14:17:16:823","R00015685","","GFP1528PTDS","P216","","Taken","183610187","","0"
"125961","","S00063457","2025-10-06 00:00:00","09:50:00:823","","","","10:51:04:130","2026-05-04 00:00:00","2026-05-12 00:00:00","","4140.5900","0.0000","","","","4759.3000","False","ALL","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","FISHERPAYK","","False","True","PULL1","RSV502218","4140.5900","2026-05-12 00:00:00","","","","2025-10-06 00:00:00","09:50:00:823","S00063457","","OR36SCG4X1","38355","","Taken","13764223","","0"
"126079","","S00063457","2025-10-06 00:00:00","09:51:33:594","","","","10:50:46:355","2026-05-04 00:00:00","2026-05-14 00:00:00","","3348.8900","0.0000","","","","3849.3000","False","ALL","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","FISHERPAYK","","False","True","PULL1","RIV340304","3348.8900","2026-05-14 00:00:00","","","","2025-10-06 00:00:00","09:51:33:594","S00063457","","OB30SPPTX3","38355","","Taken","13771079","","0"
"126418","","R00015774","2026-09-21 00:00:00","09:17:16:994","","","","16:02:21:566","2025-10-30 00:00:00","2026-09-21 00:00:00","","982.0000","0.0000","","","","953.0000","False","ALL","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","OROURKE","","False","True","PULL1","2604042858","982.0000","2026-05-27 00:00:00","","","1899-12-30 00:00:00","2026-09-21 00:00:00","09:17:16:994","R00015774","","DR5004WE","37094","","Taken","1239803203","","0"
"126434","","R00015685","2026-09-08 00:00:00","13:31:14:109","","","","14:52:52:471","2026-05-22 00:00:00","2026-09-08 00:00:00","","3434.0000","0.0000","","","","3434.0000","False","ALL","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","GEC","","False","True","PULL1","RA152602","3434.0000","2026-05-28 00:00:00","","","","2026-09-08 00:00:00","13:31:14:109","R00015685","","CHE23DM5WS5","38512","","Taken","184930182","","0"
"126441","","S00063457","2025-10-06 00:00:00","10:12:05:001","","","","10:50:30:294","2026-05-04 00:00:00","2026-05-28 00:00:00","","1369.6400","0.0000","","","","1574.3000","False","ALL","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","FISHERPAYK","","False","True","PULL1","RSV605259","1369.6400","2026-05-28 00:00:00","","","","2025-10-06 00:00:00","10:12:05:001","S00063457","","DD24DTI9 N","38355","","Taken","13788152","","0"
"126522","","S00063457","2025-10-06 00:00:00","09:52:01:681","","","","21:03:54:748","2026-05-27 00:00:00","2026-06-03 00:00:00","","850.0000","0.0000","","","","1148.0000","False","ALL","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","GEC","","False","True","PULL1","SYDD702876P","850.0000","2026-06-03 00:00:00","","","","2025-10-06 00:00:00","09:52:01:681","S00063457","","PDD415PYYFS","38543","","Taken","184999907","","0"
"126730","","S00063457","2025-10-06 00:00:00","09:53:40:291","","","","09:58:51:898","2026-06-12 00:00:00","2026-06-17 00:00:00","","2210.8800","0.0000","","","","2352.0000","False","ALL","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","ALMO","","False","True","PULL1","1328700JAA","2210.8800","2026-06-17 00:00:00","","","","2025-10-06 00:00:00","09:53:40:291","S00063457","","PRRFD24C2AP","38652","","Taken","ML99390","","0"
"126922","","R00015683","2026-09-08 00:00:00","09:59:00:722","0.0000","","","18:41:59:808","2026-01-29 00:00:00","2026-09-08 00:00:00","","1845.0000","0.0000","","False","","1995.0000","False","ALL","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","WESTYE","","False","True","PULL1","20212375","1845.0000","2026-06-24 00:00:00","","","","2026-09-08 00:00:00","09:59:00:722","R00015683","","DW2451","37727","","Taken","90535375","","0"
"127074","","S00063457","2025-10-06 00:00:00","10:18:54:144","","","","18:02:27:695","2026-06-26 00:00:00","2026-08-05 00:00:00","","595.0000","0.0000","","","","664.0000","False","ALL","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","","0.0000","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","Dollar","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","LGEUS","","False","True","PULL1","507TNPC3P064","595.0000","2026-06-30 00:00:00","","","","2025-10-06 00:00:00","10:18:54:144","S00063457","","DLEX4000W","38697","","Taken","IN28871279","","0"
