"ID","ShowInMobileTech","Code","Description"
"181","True","CG304","Oven Rack Replacement"
"182","True","CG600","Problem Could Not Be Reproduced"
"183","True","CE302","Door Componet Replacement"
"184","True","CG601","Address Noise Complaint"
"185","True","CE303","Door Hindge Assembly Replacement"
"186","True","CG602","Major Cabinet Component"
"187","True","CG603","Minor Cabinet Component"
"188","True","CG604","Major Component"
"189","True","CG605","Minor Component"
"190","True","CE304","Oven Rack Replacement"
"191","True","CG606","Additional Component Replacement"
"192","True","CE600","Problem Could Not be Reproduced"
"193","True","CG607","Cosmetic Part"
"194","True","CG608","Difficult Access Fee"
"195","True","CG609","Level Unit/Adjust Unit"
"196","True","CE601","Address Noise Complaint"
"197","True","CE602","Major Cabinet Component"
"198","True","CG610","Repair Burned Wire(s) or Loose Connection"
"199","True","CG611","Calibrate Oven Temperature"
"200","True","CG612","Adjust Surface Burner"
"201","True","CG613","Locate and Repair Gas Leak"
"202","True","CG614","Reset Circuit Breaker"
"203","True","CE603","Minor Cabinet Component"
"204","True","CE400","Electronic Control/Module/Pad Replacement"
"205","True","CE401","Infinite/Selector Switch Replacement"
"206","True","CE402","Surface Element (Ceran Top) Replacement"
"207","True","CE403","Surface Element (Coil Top) Replacement"
"208","True","CE404","Burner Receptacle Replacement"
"209","True","CE405","Bake Element Replacement"
"210","True","CE406","Broil Element Replacement"
"211","True","CE407","Cooling Fan/Blade Replacement"
"212","True","CE408","Convection Fan/Blade Replacement"
"213","True","CE409","Convection Element Replacement"
"214","True","CE410","Oven/Grill/Griddle Thermostat Replacement"
"215","True","CE411","Oven Temp Sensor (Thermister) Replacement"
"216","True","CE412","Hi-Limit Thermal Cutout Replacement"
"217","True","CE413","Light Bulb Replacement"
"218","True","CE414","Transformer Replacement"
"219","True","CE415","Probe Jack Replacement"
"220","True","CE416","Terminal Block Replacement"
"223","True","MW400","Electronic Control/Module/Pad Replacement"
"224","True","MW401","Magnetron Tube Replacement"
"225","True","MW402","Capacitor Replacement"
"226","True","MW403","Interlock Switch Replacement/Adjustment"
"227","True","MW404","Turntable Motor Replacement"
"228","True","MW405","Cooling Fan Motor/Blade Replacement"
"229","True","MW406","Ventilation Fan Motor/Blade (OTR) Replacement"
"230","True","MW407","Thermal/Line Fuse Replacement"
"231","True","MW408","Convect Element Replacement"
"232","True","MW409","Bake Element Replacement"
"233","True","MW410","Broil Element Replacement"
"234","True","MW411","Convect Fan Motor/Blade Replacement"
"235","True","MW412","Quartz Halogen Bulb Replacement"
"236","True","MW413","Probe Jack Replacement"
"237","True","MW414","Terminal Block Replacement"
"238","True","MW415","Light Bulb Replacement"
"239","True","MW300","Door Component Replacement"
"240","True","MW301","Waveguide Shield Replacement"
"241","True","MW302","Oven Rack Replacement"
"242","True","MW200","Repair Water Leak"
"243","True","MW201","Steam Generator Replacement"
"244","True","MW202","Connecting Tube(s)/Clamp(s) Replacement"
"245","True","MW600","Problem Could Not Be Reproduced"
"246","True","MS601","Address Noise Complaint"
"247","True","MW602","Major Cabinet Component"
"248","True","MW603","Minor Cabinet Component"
"249","True","MW604","Major Component"
"250","True","MW605","Minor Component"
"251","True","MW606","Additional Component Replacement"
"252","True","MW607","Cosmetic Part"
"253","True","MW608","Difficult Access Fee"
"254","True","MW609","Level Unit/Adjust Unit"
"255","True","MW610","Repair Burned Wire(s) or Loose Connection"
"256","True","MW611","Calibrate Oven Temperature"
"257","True","MW612","Built-In or OTR Additional Time Due to Access"
"258","True","MW613","Reset Circuit Breaker"
"259","True","CP400","Electronic Control/Module/Pad Replacement"
"260","True","CP401","Start Switch Replacement"
"261","True","CP402","Microswitch Replacement"
"262","True","CP403","Power Cord Replacement"
"263","True","CP404","Drive Motor Replacement"
"264","True","CP300","Ram Assembly Components Replacement"
"265","True","CP301","Power Screw Assembly Replacement"
"266","True","CP302","Power Nut(s) Replacement"
"267","True","CP303","Bin Replacement"
"268","True","CP304","Bin Roller Replacement"
"269","True","CP305","Foot Pedal/Actuator Replacement"
"270","True","CP306","Gear Replacement"
"271","True","CP307","Drive Chain Replacement"
"272","True","CP308","Fan Motor/Blade Replacement"
"273","True","CP600","Problem Could Not Be Reproduced"
"274","True","CP601","Address Noise Complaint"
"275","True","CP602","Major Cabinet Component"
"276","True","CP603","Minor Cabinet Component"
"277","True","CP604","Major Component"
"278","True","CP605","Minor Component"
"279","True","CP606","Additional Component Replacement"
"280","True","CP607","Cosmetic Part"
"281","True","CP608","Difficult Access Fee"
"282","True","CP609","Level Unit/Adjust Unit"
"283","True","CP610","Repair Burned Wire(s) or Loose Connection"
"284","True","CP611","Reinstallation of Unit"
"285","True","CP612","Lubricate Power Screw"
"286","True","CP613","Clear Debris from Drawer Mechanism"
"287","True","CP614","Reset Circuit Breaker"
"288","True","WD400","Electronic Control/Module/Pad  Replacement"
"289","True","WD401","Heat Element Replacement"
"290","True","WD402","Cooling Fan/Blade Replacement"
"291","True","WD403","Convection Fan/Blade Replacement"
"292","True","WD404","Convection Element Replacement"
"293","True","WD405","Hi-Limit Thermal Cutout Replacement"
"294","True","WD406","Light Bulb Replacement"
"295","True","WD600","Problem Could Not Be Reproduced"
"296","True","WD601","Address Noise Complaint"
"297","True","WD602","Major Cabinet Component"
"298","True","WD603","Minor Cabinet Component"
"299","True","WD604","Major Component"
"300","True","WD605","Minor Component"
"301","True","WD606","Additional Component Replacement"
"302","True","WD607","Cosmetic Part"
"303","True","WD608","Repair Burned Wire(s) or Loose Connection"
"304","True","WD609","Difficult Access Fee"
"305","True","WD610","Reset Circuit Breaker"
"306","True","WD300","Drawer Rail Component(s) Replacement"
"307","True","CE604","Major Component"
"308","True","CE605","Minor Component"
"309","True","CE606","Additional Component Replacement"
"310","True","CE607","Cosmetic Part"
"311","True","CE608","Difficult Access Fee"
"312","True","CE609","Level Unit/Adjust Unit"
"313","True","CE610","Repair Burnt Wire(s) or Loose Connection"
"314","True","CE611","Calibrate Oven Temperature"
"317","True","MW416","Terminal Block Replacement"
"318","True","MW417","Light Bulb Replacement"
"321","True","CU100","Problem Could Not Be Reproduced"
"322","True","CU101","Address Noise Complaint"
"323","True","CU102","Run Capacitor Replacement"
"324","True","CU103","Start Kit Replacement"
"325","True","CU104","30 Amp 2-Pole Contractor Replacement"
"326","True","CU105","40 Amp 2-Pole Contractor Replacement"
"327","True","CU106","Defrost Control Replacement"
"328","True","CU107","Outdoor Fan Moter Replacement"
"329","True","CU108","Outdoor Fan Blade Replacement"
"330","True","CU109","Service Valve Replacement"
"331","True","CU110","Valve Core Replacement"
"332","True","CU111","Compressor Replacement"
"333","True","CU112","Filter Drier/Muffler Replacement"
"334","True","CU113","Repair Refrigerant Leak"
"335","True","CU114","Refrigerant Recovery"
"336","True","CU115","Reversing Valve Replacement"
"337","True","CU116","Reversing Valve Coil Replacement"
"338","True","CU117","Reset Circuit Breaker"
"339","True","CU118","Replace Low Voltage Fuse"
"340","True","CU119","Install Dura-Grid Condenser Pad"
"341","True","CU120","Eletrical Disconnect Replacement"
"342","True","CU121","Amaflex at Condenser Replacement"
"343","True","AH100","Indoor Blower Moter Replacement"
"344","True","AH101","Blower Wheel Replacement"
"345","True","AH102","Capacitor Replacement"
"346","True","AH103","Motor Mount Replacement"
"347","True","AH104","Evaporator Coil (Attic Application) Replacement"
"348","True","AH105","Evaporator Coil (Closet Application) Replacement"
"349","True","AH106","Primary Drain Pan Replacement"
"350","True","AH107","Safety Drain Pan Replacement"
"351","True","AH108","Safety Drain Switch Replacement"
"352","True","AH109","Fan Relay/Control Replacement"
"353","True","AH110","Set Fan Control Dip Switches"
"354","True","AH111","Repair Refrigerant Leak on Coil (Closet Unit)"
"355","True","AH112","Repair Refrigerant Leak on Coil (Attic Unit)"
"356","True","AH113","Charge Unit Per Manufacture's Specifications"
"357","True","AH114","Inspect Indoor Unit, Outdoor Unit, and connecting refrigerant Lines for refrigerant Leaks. no detectable leaks at this time. Charge unit to manufactures's specifications and test operation of System"
"358","True","AH115","Heat Relay/Control/Sequencer/Contactor Replacement"
"359","True","AH116","Heat Strip (Assembly) Replacement"
"360","True","AH117","Heat Strip (Per Strip)"
"361","True","AH118","Thermal Fuse Replacement"
"362","True","AH121","Gas Valve Replacement"
"363","True","AH120","Hi-Limit Cutout Replacement"
"364","True","AH122","Ignitor (HSI) Replacement"
"365","True","AH123","Gas Valve Replacement"
"366","True","AH124","Gas Burner Adjustment Replacement"
"367","True","AH125","Reset Circuit Breaker"
"368","True","AH127","Thermostat Replacement"
"369","True","AH128","Eletrical Disconnect Replacement"
"370","True","AH129","Clear Debris From Condensate Drain"
"371","True","AH130","Thermostat Replacement"
"372","True","AH131","Preform Maintenance on Electronic Air Cleaner"
"373","True","AH132","Preform System maintance - Includes a visual inspection of indoor and outdoor units, checking of the refrigeran levels, lubrication of motors if of the type that will allow for lubrication cleaning filters, testing temprature differential, drain inspection, visual duct inspection. This does not include materials, supplies, parts, or refrigerant."
"374","True","AH133","Second System Maintenance"
"375","True","AH134","Third System Maintenance"
"376","True","AH135","Fourth System Maintenance"
"377","True","AC100","Problem Could Not Be Reproduced"
"378","True","AC101","Address Noise Complaint"
"379","True","AC102","Major Cabinet Component"
"380","True","AC103","Minor Cabinet Component"
"381","True","AC104","Major Component"
"382","True","AC105","Minor Component"
"383","True","AC106","Additional Component Replacement"
"384","True","AC107","Cosmetic Part"
"385","True","AC108","Repair Brunt Wire(s) or Loose Connection"
"386","True","AC109","Difficult Access Fee"
"387","True","MS1","Miscellaneous Labor"
"388","True","MS2","Miscellaneous Labor"
"389","True","MS3","Miscellaneous Labor"
"390","True","MS4","Miscellaneous Labor"
"391","True","MS5","Miscellaneous Labor"
"392","True","MS6","Miscellaneous Labor"
"393","True","MS7","Miscellaneous Labor"
"394","True","MS8","Miscellaneous Labor"
"395","True","MS9","Miscellaneous Labor"
