"ID","UpdateHeader","Cancelled","ShowInMobileTech","Obsolete","NotDispatch","ImmediateShip","UpdateInvfromMT","SamsungStatusCode","ServiceBenchStatusCode","ShowOnDealerSite","ServicePowerStatusCode","ShowOnDistributorSite","AutoEmail","AutoEmailFormat","UseInvTypeEmailFormat","EmailAttachInvoice","AutoEmailTo","IncludeInOpenPartsList","RequireMinimumDeposit","NotUpdateFullRvcdStatus","DispatchMeStatusCode","MinCascadeToJobStatusCode","RequireItemModelMiscWtyLine","SecurityLevel","RequireAllSerialsReserved","ReserveCascadeToJobStatusCode","MinDepositPercent","MinDepositOverrideInvType","Code","Description"
"40","True","False","True","False","False","False","False","","","True","","True","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","SI3","I/S-Quote Approved-Order Parts"
"41","True","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","SI4","I/S Awaiting Ordered Parts"
"42","True","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","SI5","I/S Awaiting Part Install"
"43","True","False","True","False","False","False","False","","","True","","True","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","SI6","I/S Service Complete"
"44","True","False","True","False","False","False","False","","","True","","True","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","SI7","I/S - Customer Declined Repair"
"45","True","True","True","False","False","False","False","","","True","","True","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","SO9","Service Cancelled"
"47","True","False","True","False","False","False","False","","","True","","True","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","SI8","I/S Completed & Picked Up"
"51","True","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","WAR1","Warranty Submitted & Pending"
"52","True","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","WAR2","Warranty Paid & Completed"
"53","True","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","WAR3","30 Day Warranty Hold"
"54","True","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","WAR4","Warranty Paperwork Entered"
"55","True","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","WAR5","Warranty Rec'd Awaiting Submit"
"56","True","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","CPU","CPU - Please Order"
"57","True","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","SO5","Parts In - Schedule Install"
"58","True","False","True","False","False","False","False","","","True","","True","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","SO6","Part Install Scheduled"
"59","True","False","True","False","False","False","False","","","True","","True","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","SO7","Customer Declined Repair"
"61","True","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","WAR6","Warranty Rejected"
"62","True","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","WARPART","Warranty Part Order"
"63","True","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","WARPROBLEM","Warranty Problem - Resolving"
"66","True","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","CPU1","CPU - Product Ordered"
"67","False","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","CPU2","CPU - Product In"
"68","True","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","CPU3","CPU - Finished"
"69","True","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","CPU4","CPU - Cancelled"
"70","True","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","WARTRANE","Trane & Carrier Warranty"
"75","False","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","D1","Waiting to Order"
"76","False","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","D2","Procurement"
"77","False","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","D3","Serials Reserved; Unassigned"
"78","False","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","D4","Models Reserved Date Confirmed"
"79","False","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","D-RESEARCH","Order Issue/Problem"
"80","False","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","D5","Delivery (Estimated)"
"81","False","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","D6","Delivery Confirmed"
"83","False","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","D7","Job Complete"
"84","False","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","D8","Job Cancelled"
"85","False","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","GE FACTORY","GE FACTORY SERVICE TO RUN CALL"
"86","True","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","WARPARTORDERED","Warranty Part - On Order"
"87","True","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","WAR4.1","WARRANTY IN EDIT PROCESS"
"95","True","False","True","False","False","False","False","","","True","","True","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","SI9","I/S - Diposal Approved"
"97","True","False","True","False","False","False","False","","","True","","True","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","QUOTE 3","Quoted Service"
"98","False","False","True","False","False","False","False","","","True","","True","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","LNR","Loaner"
"99","True","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","SI-TEST","In Shop Currently Testing"
"100","True","False","True","False","False","False","False","","","True","","True","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","SO3PRE","Preschedule Parts"
"101","True","False","True","False","False","False","False","","","True","","True","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","SO4PRE","Awaiting Prescheduled Parts"
"102","False","False","False","False","True","False","False","","","True","","True","False","","False","False","SoldTo","False","False","False","","","False","0","False","","0.0000","False","CPU5","Direct Ship Parts To Customer"
"103","False","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","D3-PRE","Pre schedule partial install"
"104","True","False","False","False","False","False","False","","","True","","True","False","","False","False","SoldTo","False","False","False","","","False","0","False","","0.0000","False","MOD1","Quote Awaiting Approval"
"105","True","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","MOD2","Quote Approved - Not Scheduled"
"106","True","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","False","False","False","","","False","0","False","","0.0000","False","MOD3","Quote Approved - Scheduled"
"107","True","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","False","False","False","","","False","0","False","","0.0000","False","MOD4","Modification Complete"
"108","True","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","False","False","False","","","False","0","False","","0.0000","False","MOD5","Modification Cancelled"
"110","False","False","True","False","False","False","False","","","True","","True","False","","False","False","SoldTo","False","False","False","","","False","0","False","","0.0000","False","D2R","Routed Before Prod Arrival"
"111","True","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","SO4B","Awaiting Backordered Parts"
"112","True","False","False","False","False","False","False","","","True","","True","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","SO2.1","Verified Quote"
"113","True","False","False","False","False","False","False","","","True","","True","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","SO2.2","Sent Quote - Awaiting Approval"
"114","False","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","D1T","Tract Project - Do Not Order"
"115","False","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","D2T","Tract Project - Unscheduled"
"116","False","False","False","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","D4T","Tract Project - Scheduled"
"117","True","False","True","False","False","False","False","","","True","","True","False","","False","False","SoldTo","False","False","False","","","False","0","False","","0.0000","False","SO4H","Awaiting Parts Shipped to Cust"
"118","True","False","True","False","False","False","False","","","True","","True","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","SO1.AUTH","New Call Awaiting Auth"
"119","True","False","True","False","False","False","False","","","False","","False","False","","False","False","SoldTo","True","False","False","","","False","0","False","","0.0000","False","WARADMIN","Needs Warranty Admin Review"
"120","True","False","True","False","False","False","False","","","True","","True","False","","False","False","SoldTo","False","False","False","","","False","0","False","","0.0000","False","SO8I","Service Completed - WACA Inst"
